Fighter_Name,Height,Reach,Wins,Losses,Draws,Str_Acc,Str_Def,Wins_DQ,Wins_Decision,Wins_KO_TKO,Wins_Submission,Wins_Round_1,Wins_Round_2,Wins_Round_3,Wins_Round_4,Wins_Round_5
Levi Rodrigues Jr.,"6' 0""","76.0""",6,0,0,78%,22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yair Rodriguez,"5' 11""","71.0""",21,6,0,46%,52%,0.0,6.0,4.0,1.0,1.0,3.0,5.0,0.0,2.0
Mike Rodriguez,"6' 4""","82.0""",11,7,0,53%,41%,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Marina Rodriguez,"5' 6""","65.0""",17,6,2,46%,55%,0.0,5.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0
Daniel Rodriguez,"6' 1""","74.0""",20,5,0,49%,57%,0.0,6.0,3.0,1.0,2.0,1.0,7.0,0.0,0.0
Ray Rodriguez,"5' 7""","70.0""",16,8,0,27%,40%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronaldo Rodriguez,"5' 6""","65.0""",17,3,0,43%,44%,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Drako Rodriguez,"5' 8""","69.0""",7,3,0,36%,58%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Rodriguez,"5' 5""","67.0""",7,4,0,37%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piera Rodriguez,"5' 3""","63.0""",11,2,0,47%,55%,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Christian Rodriguez,"5' 7""","71.0""",12,4,0,50%,56%,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Pete Rodriguez,"5' 9""","71.0""",5,2,0,43%,42%,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Imanol Rodriguez,"5' 4""","64.0""",7,0,0,55%,58%,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Nick Roehrick,"6' 2""",0,7,1,0,17%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Rohskopf,"6' 1""","71.0""",5,1,0,31%,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Rojo,"5' 8""","71.0""",16,10,0,39%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandr Romanov,"6' 2""","75.0""",18,3,0,51%,54%,0.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0
Anthony Romero,"5' 11""","70.0""",8,0,0,52%,65%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaleio Romero,"5' 10""","69.0""",6,2,0,48%,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Romero,"5' 8""","70.0""",8,5,1,49%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cortavious Romious,"5' 4""","68.0""",9,4,0,38%,39%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juancamilo Ronderos,"5' 3""","64.0""",4,2,0,30%,63%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rongzhu,"5' 9""","71.0""",27,6,0,51%,52%,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
Charles Rosa,"5' 9""","69.0""",14,8,0,36%,47%,0.0,3.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0
Karol Rosa,"5' 5""","67.0""",19,7,0,56%,49%,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Jacob Rosales,"5' 11""","74.0""",13,7,0,46%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raul Rosas Jr.,"5' 9""","67.0""",12,1,0,42%,52%,0.0,3.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
Hilarie Rose,"5' 3""","63.0""",4,2,0,33%,44%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Rosholt,"6' 2""","75.0""",14,4,0,46%,59%,0.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
Shannon Ross,"5' 6""","66.0""",13,9,0,39%,55%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Rountree Jr.,"6' 1""","76.0""",15,7,0,40%,49%,0.0,3.0,7.0,0.0,4.0,2.0,3.0,0.0,1.0
Ronda Rousey,"5' 7""","66.0""",12,2,0,52%,44%,0.0,0.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0
Phil Rowe,"6' 3""","80.0""",11,7,0,49%,50%,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0
Cam Rowston,"6' 3""","78.0""",14,3,0,46%,51%,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
Brandon Royval,"5' 9""","68.0""",17,9,0,41%,43%,0.0,3.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0
Jairzinho Rozenstruik,"6' 2""","78.0""",15,6,0,48%,52%,0.0,1.0,8.0,0.0,4.0,2.0,1.0,1.0,1.0
Rodolfo Rubio Perez,"5' 5""",0,10,16,1,36%,62%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Ruchala,"5' 8""","72.0""",11,2,0,35%,57%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauricio Ruffy,"5' 11""","75.0""",13,2,0,58%,58%,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0
Paul Ruiz,"5' 6""",0,7,4,0,33%,75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montserrat Conejo Ruiz,"5' 0""","61.0""",10,5,0,29%,44%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mashrabjon Ruzibaev,"5' 8""","67.0""",20,4,1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nursulton Ruziboev,"6' 5""","76.0""",36,9,2,46%,48%,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0
Casey Ryan,0,0,7,3,0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Saaiman,"5' 8""","67.0""",9,3,0,46%,51%,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
Danny Sabatello,"5' 10""","71.0""",9,1,0,57%,25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Sabatini,"5' 8""","70.0""",21,5,0,59%,50%,0.0,5.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0
Nazim Sadykhov,"5' 10""","69.0""",11,2,1,49%,49%,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0
Terrance Saeteurn,"5' 6""","67.0""",8,2,0,40%,52%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saparbeg Safarov,"6' 1""","78.0""",9,3,0,48%,47%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tarec Saffiedine,"5' 10""","70.0""",16,7,0,47%,62%,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Kiru Sahota,"5' 10""","73.0""",12,3,0,52%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tatsuya Saika,"6' 0""","73.0""",11,5,0,44%,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mridul Saikia,"5' 7""","68.0""",8,1,0,28%,36%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaushik Saikumar,"5' 10""","71.0""",5,1,0,28%,41%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
